Source Page,Page Status,Link Text,Link Href,Link Status,Result
"/","200","Skip to main content","#main-content","ANCHOR","Same-page anchor"
"/","200","69SHOP.IN Premium Marketplace","/","PASS","HTTP 200"
"/","200","Shop","/shop.html","PASS","HTTP 200"
"/","200","Services","/services.html","PASS","HTTP 200"
"/","200","Sell","#sell","ANCHOR","Same-page anchor"
"/","200","About","#about","ANCHOR","Same-page anchor"
"/","200","Contact","#contact","ANCHOR","Same-page anchor"
"/","200","Login","/shop-login.html","PASS","HTTP 200"
"/","200","Start Selling","/seller-login.html","PASS","HTTP 200"
"/","200","Electronics500+ Products","/shop.html?category=Electronics","PASS","HTTP 200"
"/","200","Fashion300+ Products","/shop.html?category=Fashion","PASS","HTTP 200"
"/","200","Mobiles150+ Products","/shop.html?category=Mobiles","PASS","HTTP 200"
"/","200","Home & Living200+ Products","/shop.html?category=Home","PASS","HTTP 200"
"/","200","Beauty180+ Products","/shop.html?category=Beauty","PASS","HTTP 200"
"/","200","Sports120+ Products","/shop.html?category=Sports","PASS","HTTP 200"
"/","200","View All","/shop.html?sort=newest","PASS","HTTP 200"
"/","200","Download on theApp Store","#","SKIP","Non-navigable link"
"/","200","(no text)","https://www.instagram.com/69shop.in","EXTERNAL","External — not tested"
"/","200","Dashboard","/seller-dashboard.html","PASS","HTTP 200"
"/","200","Education","/profile.html?section=help","PASS","HTTP 200"
"/","200","Partners","/services.html#distributors","WARN","Nav error: page.goto: Navigation to ""http://127.0.0.1:4173/services.html"" is interrupted by"
"/","200","Privacy Policy","/docs/privacy.html","PASS","HTTP 200"
"/","200","Terms of Service","/docs/terms.html","PASS","HTTP 200"
"/","200","Shipping Policy","/docs/shipping.html","PASS","HTTP 200"
"/","200","Cart","javascript:void(0)","SKIP","Non-navigable link"
"/","200","PAGE SUMMARY: 25 unique links | 17 pass | 1 fail | 7 skip","/","SUMMARY","Audit complete"
"/shop.html","200","Skip to main content","#main-content","ANCHOR","Same-page anchor"
"/shop.html","200","Shop Now","#deals","ANCHOR","Same-page anchor"
"/shop.html","200","69SHOP.IN Premium Marketplace","/","PASS","HTTP 200"
"/shop.html","200","Dashboard","/profile.html?section=dashboard","PASS","HTTP 200"
"/shop.html","200","My Orders","/profile.html?section=orders","PASS","HTTP 200"
"/shop.html","200","Wishlist","/profile.html?section=wishlist","FAIL","HTTP 0"
"/shop.html","200","My Cart","/profile.html?section=cart","PASS","HTTP 200"
"/shop.html","200","Messages 0","/messages.html","FAIL","HTTP 0"
"/shop.html","200","Notifications 5","/profile.html?section=notifications","PASS","HTTP 200"
"/shop.html","200","My Addresses","/profile.html?section=addresses","PASS","HTTP 200"
"/shop.html","200","Payment Methods","/profile.html?section=payments","PASS","HTTP 200"
"/shop.html","200","My Subscriptions","/profile.html?section=subscriptions","FAIL","HTTP 0"
"/shop.html","200","My Reviews","/profile.html?section=reviews","PASS","HTTP 200"
"/shop.html","200","Settings","/profile.html?section=settings","PASS","HTTP 200"
"/shop.html","200","Help & Support","/profile.html?section=help","WARN","Nav error: page.goto: Navigation to ""http://127.0.0.1:4173/profile.html"" is interrupted by "
"/shop.html","200","Shop","/shop.html","PASS","HTTP 200"
"/shop.html","200","Go to Seller Dashboard","/seller-dashboard.html","PASS","HTTP 200"
"/shop.html","200","Become a Seller","/#sell","WARN","Nav error: page.goto: Navigation to ""http://127.0.0.1:4173/"" is interrupted by another navi"
"/shop.html","200","Login / Sign Up","/shop-login.html","WARN","Nav error: page.goto: Navigation to ""http://127.0.0.1:4173/shop-login.html"" is interrupted "
"/shop.html","200","Electronics Smartphones, Laptops & More Up to 60% OFF TRENDI","/category-electronics.html","PASS","HTTP 200"
"/shop.html","200","Fashion Clothing, Shoes & Accessories NEW ARRIVALS","/category-fashion.html","PASS","HTTP 200"
"/shop.html","200","Home & Living Furniture, Decor & Kitchen FREE DELIVERY","/category-home.html","PASS","HTTP 200"
"/shop.html","200","Beauty Skincare & Makeup","/category-beauty.html","PASS","HTTP 200"
"/shop.html","200","Sports Fitness & Outdoor","/category-sports.html","PASS","HTTP 200"
"/shop.html","200","Groceries Fresh & Packaged","/category-groceries.html","PASS","HTTP 200"
"/shop.html","200","Books Fiction & Non-Fiction","/category-books.html","PASS","HTTP 200"
"/shop.html","200","Services Book Trusted Providers TOP RATED BOOK NOW","/services.html","PASS","HTTP 200"
"/shop.html","200","Toys & Games","/category-toys.html","PASS","HTTP 200"
"/shop.html","200","Automotive","/category-automotive.html","PASS","HTTP 200"
